,open,high,low,close,volume,amt,turn,oi
2017-03-07 00:00:00,2349.6213,2356.9591,2347.167,2356.2933,2025134800.0,21625724682.0,0.1292,
2017-03-08 00:00:00,2353.6169,2362.9632,2351.6963,2358.074,2436983300.0,23456269478.0,0.1555,
2017-03-09 00:00:00,2352.7491,2353.5377,2334.3363,2346.5527,2663066700.0,26051706735.0,0.17,
2017-03-10 00:00:00,2343.3076,2347.4582,2336.3193,2339.2339,1798881100.0,18979436067.0,0.1148,
2017-03-13 00:00:00,2337.3552,2355.2169,2328.6186,2354.8904,2462401100.0,26164051605.0,0.1571,
2017-03-14 00:00:00,2353.719,2359.3138,2349.2801,2354.8998,1901700600.0,19760470618.0,0.1214,
2017-03-15 00:00:00,2352.3852,2357.8454,2345.4435,2357.3071,2106259500.0,21925253372.0,0.1344,
2017-03-16 00:00:00,2362.3583,2376.5131,2362.3583,2369.194,3027821000.0,32128349577.0,0.1932,
2017-03-17 00:00:00,2371.6054,2373.5439,2342.0186,2346.9602,3076762300.0,33130740534.0,0.1964,
2017-03-20 00:00:00,2352.1149,2355.5347,2337.5269,2350.0671,2714929100.0,28589609884.0,0.1731,
2017-03-21 00:00:00,2352.2124,2358.5471,2348.8689,2357.1359,2888792100.0,36125342400.0,0.1842,
2017-03-22 00:00:00,2347.8575,2352.7639,2330.1158,2338.5468,3289198200.0,37345963467.0,0.2098,
2017-03-23 00:00:00,2340.0614,2356.2714,2334.1196,2347.4342,2671255200.0,33283040509.0,0.1704,
2017-03-24 00:00:00,2350.6917,2373.5785,2341.6197,2365.6043,4012077200.0,45396321523.0,0.2559,
2017-03-27 00:00:00,2364.745,2381.7653,2360.6737,2364.4277,3549115600.0,40382705997.0,0.2263,
2017-03-28 00:00:00,2368.1547,2368.379,2353.0761,2356.3135,2481363500.0,28082153971.0,0.1582,
2017-03-29 00:00:00,2357.9977,2363.7697,2349.1249,2352.6937,2901854900.0,31210660598.0,0.1851,
2017-03-30 00:00:00,2350.9195,2356.437,2335.2305,2346.6672,3111306600.0,31991546578.0,0.1984,
2017-03-31 00:00:00,2344.9599,2361.3161,2340.7722,2359.752,2950514600.0,28551404423.0,0.1882,
2017-04-05 00:00:00,2369.4888,2384.6804,2365.3402,2384.2636,4007544200.0,43436345805.0,0.2556,
2017-04-06 00:00:00,2384.4322,2395.121,2376.1462,2390.3893,3932500300.0,42616523084.0,0.2508,
2017-04-07 00:00:00,2390.9144,2394.0522,2379.3331,2388.2714,3624863000.0,38151219431.0,0.2312,
2017-04-10 00:00:00,2388.5631,2391.9479,2377.4323,2379.1574,3125802600.0,34790978044.0,0.1993,
2017-04-11 00:00:00,2374.9225,2385.0534,2354.0188,2382.1093,3920082600.0,44230592996.0,0.25,
2017-04-12 00:00:00,2378.9284,2385.6134,2362.4312,2378.8628,3364031600.0,38322592045.0,0.2145,
2017-04-13 00:00:00,2369.6067,2373.3697,2364.4418,2368.1061,2279306000.0,26083925849.0,0.1454,
2017-04-14 00:00:00,2367.7843,2368.8018,2344.6093,2355.5204,2431896900.0,26912930286.0,0.1551,
2017-04-17 00:00:00,2348.7513,2359.1835,2334.8933,2357.5233,2637625000.0,27908077358.0,0.1682,
2017-04-18 00:00:00,2352.5128,2352.791,2336.7707,2337.3507,2375365600.0,28470231118.0,0.1515,
2017-04-19 00:00:00,2331.6599,2335.9901,2311.659,2325.0424,2791943500.0,30382089519.0,0.1781,
