nav_date,close
1999-09-29,111.96
1999-09-30,111.74
1999-10-01,112.45
1999-10-04,111.84
1999-10-05,111.96
1999-10-06,112.01
1999-10-07,111.82
1999-10-08,112.4
1999-10-11,112.39
1999-10-12,112.11
1999-10-13,111.95
1999-10-14,112.0
1999-10-15,111.41
1999-10-18,111.62
1999-10-19,111.95
1999-10-20,111.82
1999-10-21,111.97
1999-10-22,112.15
1999-10-25,112.28
1999-10-26,112.49
1999-10-27,112.54
1999-10-28,112.26
1999-10-29,112.77
1999-11-01,112.97
1999-11-02,113.16
1999-11-03,113.24
1999-11-04,113.37
1999-11-05,113.38
1999-11-08,113.45
1999-11-09,113.47
1999-11-10,114.52
1999-11-11,115.08
1999-11-12,115.08
1999-11-15,115.39
1999-11-16,115.38
1999-11-17,115.21
1999-11-18,115.35
1999-11-19,115.48
1999-11-22,115.36
1999-11-23,115.64
1999-11-24,115.72
1999-11-25,115.83
1999-11-26,115.94
1999-11-29,116.82
1999-11-30,115.83
1999-12-01,115.94
1999-12-02,116.19
1999-12-03,116.36
1999-12-06,116.17
1999-12-07,116.44
1999-12-08,116.44
1999-12-09,116.69
1999-12-10,116.78
1999-12-13,117.08
1999-12-14,117.14
1999-12-15,116.29
1999-12-16,116.88
1999-12-17,117.13
1999-12-20,117.97
1999-12-21,118.13
1999-12-22,117.29
1999-12-23,117.21
1999-12-24,117.21
1999-12-27,117.47
1999-12-28,117.62
1999-12-29,117.81
1999-12-30,118.23
1999-12-31,117.7
2000-01-03,117.59
2000-01-04,117.05
2000-01-05,116.19
2000-01-06,116.18
2000-01-07,116.02
2000-01-10,116.31
2000-01-11,116.46
2000-01-12,116.54
2000-01-13,116.78
2000-01-14,117.04
2000-01-17,117.21
2000-01-18,117.27
2000-01-19,117.39
2000-01-20,117.63
2000-01-21,117.86
2000-01-24,118.19
2000-01-25,117.99
2000-01-26,118.62
2000-01-27,119.07
2000-01-28,119.04
2000-01-31,118.94
2000-02-01,120.51
2000-02-02,119.48
2000-02-03,118.45
2000-02-04,118.3
2000-02-07,118.52
2000-02-08,118.79
2000-02-09,118.63
2000-02-10,118.57
2000-02-11,118.33
2000-02-14,118.52
2000-02-15,118.61
2000-02-16,118.74
2000-02-17,118.78
2000-02-18,118.6
2000-02-21,118.64
2000-02-22,118.31
2000-02-23,118.22
2000-02-24,118.47
2000-02-25,119.1
2000-02-28,119.88
2000-02-29,119.96
2000-03-01,119.95
2000-03-02,120.32
2000-03-03,120.83
2000-03-06,121.32
2000-03-07,121.39
2000-03-08,121.43
2000-03-09,120.95
2000-03-10,121.62
2000-03-13,121.47
2000-03-14,121.45
2000-03-15,121.04
2000-03-16,121.01
2000-03-17,121.07
2000-03-20,120.9
2000-03-21,121.14
2000-03-22,121.35
2000-03-23,121.37
2000-03-24,121.52
2000-03-27,121.05
2000-03-28,121.07
2000-03-29,121.35
2000-03-30,120.21
2000-03-31,120.19
2000-04-03,121.11
2000-04-04,120.06
2000-04-05,119.53
2000-04-06,119.86
2000-04-07,119.91
2000-04-10,120.18
2000-04-11,120.21
2000-04-12,120.43
2000-04-13,120.42
2000-04-14,120.06
2000-04-17,120.16
2000-04-18,120.2
2000-04-19,120.84
2000-04-20,120.94
2000-04-25,121.4
2000-04-26,121.61
2000-04-27,122.05
2000-04-28,121.7
2000-05-01,121.94
2000-05-02,122.28
2000-05-03,122.67
2000-05-04,122.15
2000-05-05,121.74
2000-05-08,121.87
2000-05-09,121.61
2000-05-10,120.71
2000-05-11,120.61
2000-05-12,120.65
2000-05-15,120.27
2000-05-16,120.1
2000-05-17,119.26
2000-05-18,118.49
2000-05-19,117.91
2000-05-22,117.61
2000-05-23,117.02
2000-05-24,116.96
2000-05-25,116.22
2000-05-26,115.69
2000-05-30,115.25
2000-05-31,115.59
2000-06-01,116.32
2000-06-02,116.53
2000-06-05,116.72
2000-06-06,116.45
2000-06-07,116.39
2000-06-08,116.33
2000-06-09,116.44
2000-06-12,116.11
2000-06-13,115.91
2000-06-14,115.8
2000-06-15,116.34
2000-06-16,116.27
2000-06-19,116.31
2000-06-20,116.42
2000-06-21,116.39
2000-06-22,116.99
2000-06-23,116.91
2000-06-26,117.01
2000-06-27,116.77
2000-06-28,116.99
2000-06-29,116.83
2000-06-30,115.37
2000-07-03,115.73
2000-07-04,115.86
2000-07-05,115.58
2000-07-06,115.66
2000-07-07,115.99
2000-07-10,115.87
2000-07-11,115.99
2000-07-12,116.15
2000-07-13,116.18
2000-07-14,116.17
2000-07-17,116.12
2000-07-18,116.26
2000-07-19,116.58
2000-07-20,116.85
2000-07-21,116.83
2000-07-24,116.92
2000-07-25,116.7
2000-07-26,116.67
2000-07-27,116.78
2000-07-28,116.4
2000-07-31,115.91
2000-08-01,116.07
2000-08-02,116.27
2000-08-03,116.24
2000-08-04,116.33
2000-08-07,116.49
2000-08-08,117.02
2000-08-09,117.14
2000-08-10,116.74
2000-08-11,117.02
2000-08-14,116.97
2000-08-15,116.12
2000-08-16,116.03
2000-08-17,115.62
2000-08-18,115.77
2000-08-21,115.99
2000-08-22,115.94
2000-08-23,115.88
2000-08-24,115.38
2000-08-25,114.91
2000-08-28,115.2
2000-08-29,115.13
2000-08-30,115.3
2000-08-31,116.13
2000-09-01,116.37
2000-09-04,120.46
2000-09-05,120.69
2000-09-06,121.26
2000-09-07,122.84
2000-09-08,117.45
2000-09-11,117.88
2000-09-12,117.18
2000-09-13,117.19
2000-09-14,117.29
2000-09-15,117.14
2000-09-18,117.06
2000-09-19,116.95
2000-09-20,117.33
2000-09-21,115.22
2000-09-22,115.08
2000-09-25,115.19
2000-09-26,115.22
2000-09-27,115.01
2000-09-28,113.76
2000-09-29,113.33
2000-10-02,113.31
2000-10-03,112.72
2000-10-04,112.71
2000-10-05,112.83
2000-10-06,112.27
2000-10-09,112.34
2000-10-10,112.46
2000-10-11,111.75
2000-10-12,112.01
2000-10-13,109.83
2000-10-16,109.87
2000-10-17,107.44
2000-10-18,107.25
2000-10-19,107.72
2000-10-20,108.26
2000-10-23,108.67
2000-10-24,109.04
2000-10-25,109.28
2000-10-26,109.12
2000-10-27,109.08
2000-10-30,109.69
2000-10-31,109.17
2000-11-01,108.7
2000-11-02,108.26
2000-11-03,108.17
2000-11-06,108.13
2000-11-07,107.94
2000-11-08,107.81
2000-11-09,107.62
2000-11-10,107.52
2000-11-13,107.72
2000-11-14,107.54
2000-11-15,106.65
2000-11-16,106.73
2000-11-17,106.65
2000-11-20,105.92
2000-11-21,105.13
2000-11-22,104.9
2000-11-23,103.85
2000-11-24,104.03
2000-11-27,104.64
2000-11-28,103.16
2000-11-29,102.52
2000-11-30,99.57
2000-12-01,99.56
2000-12-04,99.66
2000-12-05,99.44
2000-12-06,99.94
2000-12-07,99.75
2000-12-08,100.29
2000-12-11,102.03
2000-12-12,102.34
2000-12-13,103.13
2000-12-14,103.15
2000-12-15,102.98
2000-12-18,103.01
2000-12-19,103.83
2000-12-20,103.55
2000-12-21,104.29
2000-12-22,104.03
2000-12-27,104.3
2000-12-28,104.89
2000-12-29,104.55
2001-01-02,104.29
2001-01-03,104.6
2001-01-04,105.72
2001-01-05,105.72
2001-01-08,105.95
2001-01-09,106.47
2001-01-10,107.4
2001-01-11,107.74
2001-01-12,109.62
2001-01-15,109.97
2001-01-16,109.74
2001-01-17,110.48
2001-01-18,110.83
2001-01-19,111.36
2001-01-22,111.24
2001-01-23,111.21
2001-01-24,111.46
2001-01-25,111.71
2001-01-26,112.25
2001-01-29,112.46
2001-01-30,112.51
2001-01-31,113.43
2001-02-01,113.82
2001-02-02,114.12
2001-02-05,114.14
2001-02-06,114.15
2001-02-07,114.26
2001-02-08,114.47
2001-02-09,114.35
2001-02-12,115.3
2001-02-13,116.05
2001-02-14,116.33
2001-02-15,116.75
2001-02-16,116.13
2001-02-19,115.89
2001-02-20,116.02
2001-02-21,115.08
2001-02-22,114.85
2001-02-23,115.1
2001-02-26,114.99
2001-02-27,114.56
2001-02-28,114.07
2001-03-01,114.15
2001-03-02,113.59
2001-03-05,113.66
2001-03-06,113.56
2001-03-07,113.64
2001-03-08,113.68
2001-03-09,113.68
2001-03-12,112.93
2001-03-13,112.84
2001-03-14,111.95
2001-03-15,111.99
2001-03-16,111.43
2001-03-19,110.59
2001-03-20,110.33
2001-03-21,109.17
2001-03-22,107.65
2001-03-23,107.87
2001-03-26,107.98
2001-03-27,107.99
2001-03-28,108.3
2001-03-29,109.5
2001-03-30,109.17
2001-04-02,109.06
2001-04-03,108.12
2001-04-04,105.3
2001-04-05,105.41
2001-04-06,105.37
2001-04-09,105.62
2001-04-10,105.75
2001-04-11,106.24
2001-04-12,106.11
2001-04-17,106.49
2001-04-18,106.66
2001-04-19,106.3
2001-04-20,105.98
2001-04-23,106.25
2001-04-24,105.84
2001-04-25,105.44
2001-04-26,105.26
2001-04-27,105.57
2001-04-30,106.13
2001-05-01,106.23
2001-05-02,106.57
2001-05-03,107.07
2001-05-04,107.11
2001-05-08,107.54
2001-05-09,107.37
2001-05-10,107.5
2001-05-11,107.82
2001-05-14,107.83
2001-05-15,107.52
2001-05-16,107.12
2001-05-17,107.08
2001-05-18,107.31
2001-05-21,107.6
2001-05-22,107.74
2001-05-23,107.91
2001-05-24,107.73
2001-05-25,108.06
2001-05-29,108.39
2001-05-30,108.79
2001-05-31,109.12
2001-06-01,108.56
2001-06-04,108.25
2001-06-05,108.0
2001-06-06,107.82
2001-06-07,107.57
2001-06-08,107.32
2001-06-11,107.17
2001-06-12,106.48
2001-06-13,106.51
2001-06-14,106.28
2001-06-15,104.59
2001-06-18,103.76
2001-06-19,102.81
2001-06-20,101.47
2001-06-21,102.29
2001-06-22,102.8
2001-06-25,102.64
2001-06-26,101.43
2001-06-27,101.45
2001-06-28,101.83
2001-06-29,100.9
2001-07-02,101.51
2001-07-03,101.54
2001-07-04,101.62
2001-07-05,101.68
2001-07-06,101.33
2001-07-09,101.0
2001-07-10,100.69
2001-07-11,99.39
2001-07-12,98.69
2001-07-13,98.6
2001-07-16,97.42
2001-07-17,96.62
2001-07-18,95.71
2001-07-19,96.17
2001-07-20,96.19
2001-07-23,96.4
2001-07-24,96.27
2001-07-25,97.19
2001-07-26,97.5
2001-07-27,97.73
2001-07-30,98.22
2001-07-31,98.49
2001-08-01,98.55
2001-08-02,98.48
2001-08-03,97.4
2001-08-06,97.46
2001-08-07,97.59
2001-08-08,97.61
2001-08-09,97.38
2001-08-10,97.3
2001-08-13,97.21
2001-08-14,97.33
2001-08-15,97.32
2001-08-16,97.52
2001-08-17,97.4
2001-08-20,97.16
2001-08-21,96.93
2001-08-22,96.85
2001-08-23,96.95
2001-08-24,96.98
2001-08-28,97.28
2001-08-29,97.35
2001-08-30,96.29
2001-08-31,96.29
2001-09-03,96.28
2001-09-04,96.53
2001-09-05,96.79
2001-09-06,96.72
2001-09-07,96.54
2001-09-10,96.7
2001-09-14,93.27
2001-09-17,93.34
2001-09-18,93.14
2001-09-19,91.9
2001-09-20,91.97
2001-09-21,91.34
2001-09-24,90.43
2001-09-25,90.3
2001-09-26,87.96
2001-09-27,87.28
2001-09-28,86.58
2001-10-01,86.32
2001-10-02,86.11
2001-10-03,86.21
2001-10-04,86.5
2001-10-05,86.44
2001-10-08,86.41
2001-10-09,86.33
2001-10-10,86.27
2001-10-11,86.45
2001-10-12,86.5
2001-10-15,86.49
2001-10-16,91.33
2001-10-17,91.44
2001-10-18,91.53
2001-10-19,91.61
2001-10-22,91.68
2001-10-23,91.69
2001-10-24,91.69
2001-10-25,91.73
2001-10-26,91.95
2001-10-29,92.41
2001-10-30,92.92
2001-10-31,93.33
2001-11-01,93.34
2001-11-02,93.46
2001-11-05,93.67
2001-11-06,93.72
2001-11-07,93.79
2001-11-08,93.88
2001-11-09,93.92
2001-11-12,93.98
2001-11-13,94.15
2001-11-14,94.11
2001-11-15,96.79
2001-11-16,96.62
2001-11-19,96.61
2001-11-20,96.58
2001-11-21,96.76
2001-11-22,96.69
2001-11-23,96.71
2001-11-26,97.81
2001-11-27,96.79
2001-11-28,96.89
2001-11-29,96.87
2001-11-30,96.97
2001-12-03,97.13
2001-12-04,97.15
2001-12-05,96.99
2001-12-06,97.08
2001-12-07,97.26
2001-12-10,97.49
2001-12-11,97.54
2001-12-12,97.55
2001-12-13,97.53
2001-12-14,97.49
2001-12-17,94.68
2001-12-18,94.8
2001-12-19,94.8
2001-12-20,94.82
2001-12-21,95.02
2001-12-24,96.05
2001-12-27,96.63
2001-12-28,96.58
2001-12-31,96.07
2002-01-02,95.53
2002-01-03,95.59
2002-01-04,96.0
2002-01-07,97.72
2002-01-08,99.19
2002-01-09,99.58
2002-01-10,99.61
2002-01-11,99.61
2002-01-14,99.95
2002-01-15,99.53
2002-01-16,99.7
2002-01-17,99.81
2002-01-18,99.7
2002-01-21,99.82
2002-01-22,99.67
2002-01-23,99.58
2002-01-24,99.76
2002-01-25,97.44
2002-01-28,97.62
2002-01-29,97.68
2002-01-30,96.09
2002-01-31,96.22
2002-02-01,96.26
2002-02-04,96.2
2002-02-05,96.02
2002-02-06,95.94
2002-02-07,95.91
2002-02-08,95.45
2002-02-11,94.65
2002-02-12,94.93
2002-02-13,95.12
2002-02-14,94.62
2002-02-15,94.08
2002-02-18,94.21
2002-02-19,94.12
2002-02-20,94.2
2002-02-21,94.21
2002-02-22,90.59
2002-02-25,90.84
2002-02-26,90.92
2002-02-27,90.89
2002-02-28,89.47
2002-03-01,89.56
2002-03-04,89.6
2002-03-05,89.61
2002-03-06,89.49
2002-03-07,89.4
2002-03-08,89.75
2002-03-11,90.05
2002-03-12,90.05
2002-03-13,90.04
2002-03-14,90.04
2002-03-15,91.29
