DateTime,open,high,low,close,volume,amt,turn,ma_5,ma_10,ma_22,ma_66,ma_125,ma_250,macd,msign,mdiff,vortex_20,uos,tsi,trix_20,stok,std_10,rsi_k,rsi_20,mass,mom_15,bspoint,label,signal
2004/10/18,947.98,953.43,936.06,948.24,691450000,4687640000,0.7439,961.132,983.163,982.1518182,970.8013636,1014.38688,1066.23832,-2.068592771,9.93401376,-12.00260653,0.13839916,3.146670854,0.000252461,0.000849387,0.701208981,27.20865918,0.339878163,25.36634842,27.48877746,-85.79,0,-1,0
2004/10/19,951.69,967.69,948.92,951.03,865290000,5457480000,0.9267,954.88,976.631,983.9654545,970.4912121,1012.36656,1066.04964,-4.978054984,6.951600011,-11.929655,0.159355053,2.494346482,-0.019786647,0.000767419,0.112413426,26.1773496,0.413886317,29.27295583,27.53097302,-74.32,0,-1,0
2004/10/20,950.24,950.79,934.03,946.89,780150000,4931980000,0.8426,947.844,970.838,986.4390909,970.0668182,1010.44736,1065.85368,-7.749028414,4.011474326,-11.76050274,-0.031513887,2.668076141,-0.039510334,0.000668497,0.767303103,25.65064773,0.366469328,26.81870136,27.49297246,-56.89,0,-1,0
2004/10/21,947.45,953.83,929.3,933.44,1190480000,7607350000,1.2825,945.38,964.982,987.0654545,969.3987879,1008.50688,1065.50632,-11.62622478,0.883934505,-12.51015928,-0.114320539,2.749455278,-0.06628045,0.000547021,0.168772931,26.93501307,0.352298481,26.05182852,27.39028556,-104.03,0,-1,0
2004/10/22,932.91,946.26,920.51,944.8,1233560000,7736560000,1.3113,944.88,958.45,986.4781818,968.6977273,1006.56736,1065.21532,-13.02930909,-1.898714214,-11.13059488,-0.213191481,3.185483534,-0.078120016,0.000421648,0.943300971,22.29264503,0.326376373,24.60661845,27.35690685,-72.96,0,-1,0
2004/10/25,952.78,958.36,928.95,930.56,1267970000,8083250000,1.3458,941.344,951.238,984.7922727,967.3940909,1004.66072,1064.89908,-15.90018571,-4.699008514,-11.2011772,-0.301512438,3.161020473,-0.098767316,0.000283537,0.054743285,17.55653712,0.394195786,28.27406237,27.31082178,-79.38,0,-1,0
2004/10/26,928.92,940.81,917.25,940.8,1207770000,7443920000,1.2848,939.298,947.089,982.1581818,966.2365152,1002.9196,1064.63676,-16.63117674,-7.085442159,-9.545734579,-0.38466422,3.517257886,-0.105934797,0.000148395,0.999575552,13.93106477,0.3559016,26.24833544,27.1251919,-75.55,0,-1,0
2004/10/27,940.96,950.83,931.54,950.83,1416060000,8503630000,1.5066,940.086,943.965,978.3763636,965.3510606,1001.32896,1064.46592,-15.71821253,-8.811996233,-6.906216297,-0.297632492,3.769794165,-0.102206701,2.77E-05,1,6.987306348,0.4101412,29.08511575,26.60121036,-53.99,0,-1,0
2004/10/28,951.71,961.79,946.78,950.41,1285700000,7966330000,1.3888,943.48,944.43,974.97,964.4562121,999.69008,1064.2774,-14.92414759,-10.0344265,-4.889721088,-0.265885361,3.726010006,-0.09949116,-7.97E-05,0.241838774,7.269080638,0.464643618,31.72400524,26.2291031,-41.59,0,-1,0
2004/10/29,929.41,946.3,923.6,934.26,1374000000,8026750000,1.4539,941.372,943.126,971.81,963.6910606,998.06864,1064.04736,-16.32234408,-11.29201002,-5.030334062,-0.457784543,3.541985617,-0.110196107,-0.000188855,0.469603524,7.843919372,0.38211097,27.64690954,25.84994643,-75.86,0,-1,0
2004/11/1,930.59,937.01,924.87,924.88,793720000,4693780000,0.847,940.236,940.79,966.6922727,962.7493939,996.35056,1063.765,-18.51364695,-12.73633741,-5.77730954,-0.417569166,3.594510082,-0.126409382,-0.000304734,0.000823723,9.463016902,0.38211097,27.64690954,25.45203977,-77.8,0,-1,0
2004/11/2,923.34,924.03,913.43,921.65,788050000,4584200000,0.8457,936.406,937.852,962.3236364,961.9443939,994.6924,1063.36676,-20.48458423,-14.28598677,-6.198597463,-0.42777413,3.361203455,-0.142243949,-0.000425326,0.775471698,10.44084799,0.3451489,25.65878766,25.09798646,-60.64,0,-1,0
2004/11/3,924.21,938.36,920.73,938.24,938500000,5910060000,1.0043,933.888,936.987,959.0645455,961.4593939,993.2016,1063.067,-19.6297298,-15.35473538,-4.274994425,-0.373705328,4.218151241,-0.137568717,-0.00053125,0.99319342,9.955928496,0.422490282,29.70074999,24.79365627,-43.83,0,-1,0
2004/11/4,939.35,944.51,916.38,918.66,950500000,5939990000,1.0218,927.538,935.509,954.6240909,960.6071212,991.7108,1062.69992,-21.39520026,-16.56282835,-4.832371904,-0.300307903,3.318982193,-0.149512191,-0.000640671,0.081052257,11.51587064,0.45312755,31.18291647,24.52326055,-27.1,0,-1,0
