DateTime,open,high,low,close,volume,amt,turn,bspoint,label
2015/4/28,3970.45,4008.31,3895.16,3927.54,55853990000,774000000000.0,2.6555,0,
2015/4/29,3915.11,3966.15,3886.89,3946.04,36530370000,553000000000.0,1.7368,0,
2015/4/30,3954.07,3978.55,3925.35,3925.35,36030970000,545000000000.0,1.7131,0,
2015/5/4,3928.8,3955.86,3877.64,3949.18,33797220000,499000000000.0,1.6067,0,
2015/5/5,3946.18,3946.18,3772.38,3791.73,41792430000,589000000000.0,1.9855,0,
2015/5/6,3815.17,3881.23,3720.43,3756.8,34063060000,526000000000.0,1.6183,0,
2015/5/7,3728.01,3750.88,3686.89,3689.44,27155940000,383000000000.0,1.2897,0,1.0
2015/5/8,3729.01,3753.58,3662.1,3753.58,27151460000,395000000000.0,1.2895,0,
2015/5/11,3770.03,3859.17,3728.1,3859.01,33171420000,503000000000.0,1.5753,0,
2015/5/12,3859.87,3910.66,3834.93,3910.4,33504540000,526000000000.0,1.5906,0,-1.0
2015/5/13,3910.53,3919.65,3840.86,3871.7,32362810000,508000000000.0,1.5356,0,
2015/5/14,3868.57,3882.82,3827.32,3851.85,29632180000,442000000000.0,1.406,0,
2015/5/15,3840.06,3840.06,3756.71,3776.88,28695130000,428000000000.0,1.3552,0,
2015/5/18,3748.61,3773.08,3723.08,3728.14,23104070000,361000000000.0,1.0912,0,1.0
2015/5/19,3728.65,3860.02,3728.65,3853.07,27055840000,438000000000.0,1.2778,0,
2015/5/20,3869.83,3932.6,3854.18,3864.38,30708290000,482000000000.0,1.459,0,
2015/5/21,3874.56,3925.4,3853.42,3925.27,25531640000,407000000000.0,1.2092,0,
2015/5/22,3970.75,4033.92,3952.24,4033.5,39896280000,611000000000.0,1.8882,0,
2015/5/25,4034.86,4156.39,4032.72,4156.39,40787920000,641000000000.0,1.9304,0,
2015/5/26,4191.45,4231.36,4124.01,4231.0,42824570000,684000000000.0,2.0263,0,-1.0
2015/5/27,4243.83,4250.83,4169.46,4198.45,40598700000,647000000000.0,1.9208,0,
2015/5/28,4192.16,4218.53,3916.09,3918.34,49545210000,727000000000.0,2.3434,0,
2015/5/29,3922.05,3984.29,3787.62,3916.71,37454960000,534000000000.0,1.7691,0,1.0
2015/6/1,3931.0,4105.24,3905.95,4102.01,36611570000,535000000000.0,1.7293,0,
2015/6/2,4111.06,4151.93,4066.5,4151.74,35435770000,537000000000.0,1.6738,0,
2015/6/3,4159.42,4166.87,4071.54,4132.49,35217160000,545000000000.0,1.6609,0,
2015/6/4,4139.9,4179.09,3922.88,4170.65,41836830000,607000000000.0,1.9628,0,
2015/6/5,4232.39,4256.25,4112.54,4206.27,46318780000,697000000000.0,2.1731,0,
2015/6/8,4219.76,4335.93,4181.61,4321.7,57097080000,818000000000.0,2.7067,0,-1.0
2015/6/9,4345.39,4348.25,4232.4,4287.22,51173600000,757000000000.0,2.4001,0,
2015/6/10,4231.05,4316.69,4199.22,4263.37,38282170000,588000000000.0,1.7941,0,
2015/6/11,4257.2,4257.2,4241.07,4241.07,33035850000,527000000000.0,1.5471,0,
2015/6/12,4254.69,4272.03,4213.31,4257.52,36558330000,557000000000.0,1.7115,0,
2015/6/15,4269.07,4271.37,4153.57,4164.24,39566520000,597000000000.0,1.8523,0,
2015/6/16,4123.07,4160.01,4011.92,4049.98,34402980000,508000000000.0,1.6102,0,
2015/6/17,4060.35,4122.17,3971.93,4108.03,33736820000,469000000000.0,1.5774,0,
2015/6/18,4081.99,4088.21,3938.75,3940.71,30600700000,441000000000.0,1.4306,0,
2015/6/19,3878.91,3929.46,3712.59,3713.93,30414990000,415000000000.0,1.4216,0,1.0
2015/6/23,3718.46,3842.87,3587.5,3842.03,30870220000,432000000000.0,1.4429,0,
2015/6/24,3862.03,3921.75,3809.74,3917.36,36966910000,495000000000.0,1.7271,0,-1.0
2015/6/25,3939.8,3954.66,3757.07,3786.58,38080990000,522000000000.0,1.7787,0,
2015/6/26,3682.26,3752.87,3443.29,3496.86,38560210000,508000000000.0,1.7992,0,
2015/6/29,3586.48,3592.81,3229.05,3399.4,45409210000,588000000000.0,2.1166,0,1.0
2015/6/30,3379.32,3635.3,3274.74,3633.09,45019630000,593000000000.0,2.0985,0,-1.0
2015/7/1,3581.22,3670.36,3442.51,3456.88,37470450000,531000000000.0,1.74,0,
2015/7/2,3487.93,3510.88,3256.19,3353.55,40255330000,515000000000.0,1.8693,0,
2015/7/3,3278.29,3395.35,3088.22,3168.69,37083620000,460000000000.0,1.7196,0,1.0
2015/7/6,3444.09,3444.09,3146.08,3284.1,57891280000,688000000000.0,2.6819,0,-1.0
2015/7/7,3187.88,3263.37,3079.57,3243.06,61342780000,719000000000.0,2.8418,0,
2015/7/8,3000.22,3107.66,2971.31,3016.43,53456680000,589000000000.0,2.4765,0,1.0
2015/7/9,2983.35,3245.35,2905.5,3215.53,45759830000,519000000000.0,2.1184,0,
2015/7/10,3222.48,3454.89,3197.21,3387.58,47025250000,595000000000.0,2.1768,0,
