DateTime,open,high,low,close,volume,amt,turn
2015/2/25,4824.35,4843.69,4794.87,4808.27,9178590000,1.21E+11,2.2002
2015/2/26,4805.02,4842.92,4796.81,4842.92,9577510000,1.21E+11,2.2946
2015/2/27,4845.12,4899.74,4842.79,4899.74,10648520000,1.37E+11,2.5511
2015/3/2,4932.78,5013.64,4920.36,5013.64,14561620000,1.88E+11,3.4877
2015/3/3,5003.32,5059.32,4982.92,4992.15,15653380000,2.01E+11,3.749
2015/3/4,4989.83,5075.46,4989.83,5075.46,13286550000,1.74E+11,3.1821
2015/3/5,5077.53,5098.2,5051.77,5098.2,13776990000,1.83E+11,3.2981
2015/3/6,5101.43,5115.15,5031.17,5036.97,12434110000,1.63E+11,2.9754
2015/3/9,5019.48,5104.88,4998.61,5104.88,11016050000,1.45E+11,2.6328
2015/3/10,5110.57,5184.19,5106.47,5171.26,11701600000,1.61E+11,2.7962
2015/3/11,5171.89,5173.32,5146.98,5169.69,11595500000,1.59E+11,2.7701
2015/3/12,5170.85,5188.14,5111.94,5151.09,11587750000,1.59E+11,2.7687
2015/3/13,5162.16,5227.6,5161.98,5227.6,10726190000,1.49E+11,2.5587
2015/3/16,5263.82,5394.21,5263.64,5394.21,15700600000,2.20E+11,3.7432
2015/3/17,5426.06,5487.96,5398.31,5465.77,19409870000,2.64E+11,4.6237
2015/3/18,5470.19,5569.24,5454.6,5569.24,18499700000,2.53E+11,4.4052
2015/3/19,5570.41,5612.84,5535.56,5612.84,19098620000,2.58E+11,4.5402
2015/3/20,5613.1,5679.31,5613.08,5671.92,17679940000,2.49E+11,4.2011
2015/3/23,5702.39,5825.22,5702.39,5825.22,20227950000,2.92E+11,4.8047
2015/3/24,5843.37,5883.68,5658.14,5876.03,23846710000,3.46E+11,5.6632
2015/3/25,5877.02,5982.22,5833.27,5947.57,20184520000,3.08E+11,4.7917
2015/3/26,5912.4,5964.98,5802.32,5866.77,19168250000,3.01E+11,4.5497
2015/3/27,5858.54,5937.67,5848.5,5934,14855810000,2.28E+11,3.5255
2015/3/30,5948.24,5979.26,5931.38,5972.71,17965440000,2.71E+11,4.2545
2015/3/31,5992.93,6054.17,5947.4,5999.05,18674280000,2.82E+11,4.4239
2015/4/1,6000.13,6150.77,6000.08,6146.94,17508470000,2.74E+11,4.1303
2015/4/2,6177.53,6285.76,6177.53,6285.71,19660710000,3.09E+11,4.6374
2015/4/3,6266.44,6394.88,6232.85,6394.23,19538650000,3.16E+11,4.6067
2015/4/7,6424.81,6526.68,6424.81,6526.68,20606210000,3.33E+11,4.8538
2015/4/8,6548.78,6550.86,6321.06,6440.78,21044230000,3.43E+11,4.9508
2015/4/9,6438.56,6438.56,6144.41,6373.13,19842280000,3.18E+11,4.6624
2015/4/10,6352.9,6548.79,6318.02,6538.3,17472020000,2.86E+11,4.1013
2015/4/13,6574.14,6705.19,6559.13,6688.34,20392220000,3.35E+11,4.7717
2015/4/14,6693.86,6756.37,6629.32,6686.58,20312360000,3.30E+11,4.7528
2015/4/15,6672.28,6672.28,6417.7,6433.72,18214710000,2.91E+11,4.2602
2015/4/16,6351.8,6576.18,6270.44,6511.61,15831130000,2.50E+11,3.6939
2015/4/17,6560.24,6598.62,6505.34,6541.99,19067550000,3.00E+11,4.4371
2015/4/20,6521.79,6574.24,6383.82,6408.87,21111570000,3.24E+11,4.9108
2015/4/21,6415.05,6642.53,6414.76,6642.53,17552390000,2.76E+11,4.0764
2015/4/22,6697.75,6832.39,6697.28,6831.1,21546120000,3.40E+11,5.001
2015/4/23,6859.07,6941.86,6813.65,6908.39,21945140000,3.54E+11,5.0818
2015/4/24,6828.22,6932.83,6773.14,6909.67,19875620000,3.26E+11,4.5896
2015/4/27,6963.98,7023.81,6891.1,6952.4,19518340000,3.26E+11,4.5011
2015/4/28,6962.85,6964.17,6678.26,6745.74,19656380000,3.16E+11,4.5201
2015/4/29,6726.01,6919.84,6710.51,6909.13,15782910000,2.60E+11,3.6283
2015/4/30,6940.15,7018.4,6940.11,6941.51,15968190000,2.71E+11,3.6518
2015/5/4,6964.21,7011.62,6878.68,7005.4,15014600000,2.49E+11,3.431
2015/5/5,7013.52,7014.51,6765,6795.77,16824490000,2.70E+11,3.8446
2015/5/6,6816.07,6948.8,6688.92,6736.95,14986110000,2.51E+11,3.4206
2015/5/7,6711.6,6745.14,6609.08,6619.48,12681240000,2.06E+11,2.8919
2015/5/8,6692.07,6906.21,6691.79,6906.21,13884610000,2.38E+11,3.16
2015/5/11,6998.89,7216.21,6967.47,7216.21,17481780000,3.16E+11,3.9671
2015/5/12,7265.59,7376.69,7224.35,7376.69,18911290000,3.47E+11,4.2804
2015/5/13,7347.63,7519.07,7274.15,7451.66,19722590000,3.61E+11,4.4625
2015/5/14,7467.83,7519.94,7414.43,7487.19,17639250000,3.25E+11,3.9725
2015/5/15,7469.14,7538.78,7342.03,7470.47,17465730000,3.22E+11,3.9263
2015/5/18,7468.76,7653.66,7455.89,7643.93,16315050000,3.13E+11,3.6638
2015/5/19,7678.09,7820.64,7637.03,7820.55,17507410000,3.26E+11,3.927
2015/5/20,7872.34,8116.18,7871.66,7982.33,22452990000,4.15E+11,5.0122
2015/5/21,8028.01,8289,8028.01,8289,21598660000,4.08E+11,4.8134
2015/5/22,8421.2,8464.95,8199.81,8396.19,25459700000,4.79E+11,5.6626
2015/5/25,8320.24,8586.76,8254,8582.72,25790050000,4.81E+11,5.7162
2015/5/26,8654.28,8897.11,8640.22,8896.81,26878640000,5.17E+11,5.9418
2015/5/27,8951.17,9067.79,8763.91,9033.04,26848920000,5.37E+11,5.9188
2015/5/28,9045.23,9179.17,8515.98,8517.31,30133690000,5.84E+11,6.6307
2015/5/29,8482.84,8769.27,8125.07,8613.74,23438660000,4.46E+11,5.1362
2015/6/1,8697.22,9058.63,8696.66,9058.63,21445770000,4.26E+11,4.6738
2015/6/2,9145.47,9415.37,9107.51,9415.37,24076740000,4.87E+11,5.2435
2015/6/3,9483.15,9546.29,9197.39,9472.33,24713570000,5.09E+11,5.3796
2015/6/4,9478.32,9513.19,8872.99,9451.57,23954690000,4.86E+11,5.2122
2015/6/5,9596.77,9689.96,9390.23,9600.89,27756430000,5.67E+11,6.0296
2015/6/8,9604.65,9604.65,9315.59,9422.92,25465180000,5.15E+11,5.5264
2015/6/9,9394.43,9498.7,9300.15,9436,20258670000,4.13E+11,4.3914
2015/6/10,9390.85,9738.08,9293.19,9642.73,20864130000,4.36E+11,4.515
2015/6/11,9662.1,9835.73,9662.1,9835.73,21384000000,4.55E+11,4.614
2015/6/12,9890.82,10064.23,9882.89,10009.88,23806160000,5.04E+11,5.1196
2015/6/15,10055,10069.59,9798.09,9829.65,24093140000,5.07E+11,5.159
2015/6/16,9713.81,9713.89,9340.48,9426.94,20837890000,4.29E+11,4.4565
2015/6/17,9405.54,9658.54,9096.67,9635.44,19427440000,3.94E+11,4.1501
2015/6/18,9624.67,9704.14,9299.17,9322.14,18415310000,3.75E+11,3.9242
2015/6/19,9081.53,9173.77,8687.52,8701.01,16188680000,3.13E+11,3.4479
2015/6/23,8666.98,8773.89,8132.99,8729.56,16829580000,3.09E+11,3.5844
2015/6/24,8822.55,8944.43,8663.99,8921.73,18209490000,3.49E+11,3.8726
2015/6/25,8951.75,8954.39,8445.61,8562.88,18475400000,3.56E+11,3.9271
2015/6/26,8271.09,8281.82,7859.18,7873.56,15830580000,2.72E+11,3.3606
2015/6/29,8028.2,8031.72,7244.32,7338.24,19926290000,3.18E+11,4.2295
2015/6/30,7131.05,7681.17,6820.02,7673.28,22733690000,3.54E+11,4.8177
2015/7/1,7589.68,7851.16,7198.91,7227.36,19412170000,3.31E+11,4.1331
2015/7/2,7176.53,7225.5,6682.92,6718.8,17428370000,2.64E+11,3.7089
2015/7/3,6420.52,6769.98,6215.31,6280.01,17248940000,2.35E+11,3.6695
2015/7/6,6697.92,6697.92,5862.46,6019.74,22919480000,2.91E+11,4.8676
2015/7/7,5790.49,5815.91,5647.01,5648.26,10283240000,1.08E+11,2.1839
2015/7/8,5416.81,5530.57,5416.66,5493.71,19065760000,2.05E+11,4.0458
2015/7/9,5396.39,5697.64,5396.39,5697.16,12307400000,1.30E+11,2.611
2015/7/10,5833.65,5933.79,5820.46,5933.07,7963030000,94758830000,1.6859
2015/7/13,6180.99,6262.42,6133.73,6262.42,13476170000,1.80E+11,2.8514
2015/7/14,6435.54,6590.16,6365.86,6447.15,18953750000,2.67E+11,4.0103
2015/7/15,6457.32,6457.32,6107.23,6121.29,19601510000,2.61E+11,4.1471
2015/7/16,5976.84,6351.84,5818.09,6220.28,17854810000,2.40E+11,3.7771
2015/7/17,6258.4,6602.14,6256.23,6563.81,16923900000,2.40E+11,3.5744
2015/7/20,6629.78,6821.07,6570.94,6735.88,20422970000,3.11E+11,4.313
2015/7/21,6678.34,6925.56,6606.93,6873.35,18355600000,2.84E+11,3.8726
2015/7/22,6891.25,7011.62,6778.69,6983.71,20677170000,3.20E+11,4.3615
2015/7/23,7001.48,7236.57,6973.37,7211.97,22131920000,3.41E+11,4.6684
2015/7/24,7234.36,7358.34,7062.15,7129.2,24129350000,3.88E+11,5.0914
2015/7/27,6980.78,7201.7,6620.43,6621.52,21416810000,3.45E+11,4.5187
2015/7/28,6286.13,6679.3,6159.66,6406.52,21346350000,3.10E+11,4.5039
2015/7/29,6502.68,6708.78,6233.49,6708.78,17033650000,2.62E+11,3.5939
2015/7/30,6673.76,6839.6,6500.6,6528.6,18468730000,2.89E+11,3.8967
2015/7/31,6420.14,6572.63,6315.48,6405.49,13728270000,2.10E+11,2.8972
2015/8/3,6303.04,6334.17,6053.44,6143.51,13579770000,1.92E+11,2.865
2015/8/4,6144.17,6502.56,6143.13,6502.55,15247770000,2.22E+11,3.2169
2015/8/5,6506.96,6624.45,6393.71,6461.59,16559480000,2.52E+11,3.4925
2015/8/6,6312.82,6520.41,6293.68,6445.42,12826630000,1.88E+11,2.7045
2015/8/7,6510.83,6661.63,6501.15,6661.63,15965420000,2.41E+11,3.3649
2015/8/10,6741.54,7030.81,6661.5,6992.85,19806900000,3.05E+11,4.1681
2015/8/11,7004.75,7147.75,6978.48,7049.07,21704780000,3.37E+11,4.5675
2015/8/12,6976.35,7097.57,6953.51,6955.43,18502290000,2.86E+11,3.8921
2015/8/13,6910.65,7133.63,6867.26,7133.63,18250580000,2.84E+11,3.8385
2015/8/14,7188.31,7274.2,7131.6,7189.93,21151260000,3.32E+11,4.4478
2015/8/17,7172.61,7342.18,7136.05,7342.18,20654030000,3.24E+11,4.3438
2015/8/18,7358.31,7370.52,6786.17,6805.22,24330530000,3.70E+11,5.1171
2015/8/19,6545.51,7011.33,6393.8,6962.81,21911580000,3.15E+11,4.6095
2015/8/20,6887.07,7007.3,6723,6723.15,19090730000,2.81E+11,4.0169
2015/8/21,6580.12,6670.89,6314.68,6340.49,16106750000,2.31E+11,3.3883
2015/8/24,6047.16,6077.57,5846.83,5848.81,10548110000,1.35E+11,2.2183
2015/8/25,5422.37,5555.27,5408.66,5414.97,11467790000,1.37E+11,2.4104
2015/8/26,5397.33,5573.18,5137.97,5199.45,18551170000,2.16E+11,3.8985
2015/8/27,5281.31,5376.38,5084.1,5375.89,15370730000,1.79E+11,3.2301
2015/8/28,5456.74,5704.15,5424.2,5704.01,17876350000,2.20E+11,3.7503
2015/8/31,5667.98,5667.98,5483.53,5484.83,14802740000,1.85E+11,3.1009
2015/9/1,5418.81,5419.08,5127.42,5136.2,12336340000,1.38E+11,2.5829
2015/9/2,4885.8,5256.24,4876.96,5002.49,13882930000,1.53E+11,2.9064
2015/9/7,5068.04,5218.18,5019.94,5065.79,12417030000,1.44E+11,2.5966
2015/9/8,5028.72,5289.74,4982.14,5282.08,11287740000,1.29E+11,2.3605
2015/9/9,5319.9,5494.06,5303.52,5468.94,17981730000,2.21E+11,3.7601
2015/9/10,5380.1,5498.92,5358.95,5393.15,13830120000,1.71E+11,2.886
2015/9/11,5377.07,5469.16,5355.79,5452.58,12031530000,1.51E+11,2.4984
2015/9/14,5480.31,5496.05,5055.49,5073.9,14608920000,1.73E+11,3.0308
2015/9/15,4917.46,5021.65,4780.26,4795.84,11834490000,1.28E+11,2.4551
2015/9/16,4807.11,5127.39,4794.4,5111.81,13468270000,1.51E+11,2.7934
2015/9/17,5101.39,5267.07,5034.61,5034.63,16296240000,1.95E+11,3.3787
2015/9/18,5069.83,5135.58,5006.62,5106.26,11036650000,1.34E+11,2.2819
2015/9/21,5038.83,5293.93,5023.73,5292.97,13228190000,1.64E+11,2.7307
2015/9/22,5304.62,5379.81,5247.37,5318.48,15214560000,1.92E+11,3.1394
2015/9/23,5223.73,5334.04,5208.13,5266.48,13231250000,1.67E+11,2.7244
2015/9/24,5292.9,5352.04,5264.78,5343.16,12597540000,1.57E+11,2.5793
2015/9/25,5315.68,5357.07,5129.14,5164.42,13415320000,1.61E+11,2.7359
2015/9/28,5170.07,5279.21,5092.12,5279.21,9706740000,1.19E+11,1.9758
2015/9/29,5187.02,5264.2,5160.89,5195.53,10023210000,1.25E+11,2.0341
2015/9/30,5221.89,5245.52,5153.65,5205.1,8184060000,1.04E+11,1.6546
2015/10/8,5368.77,5455.78,5331.3,5423.63,12819860000,1.64E+11,2.5893
2015/10/9,5418.91,5531.85,5406.22,5509.72,13878650000,1.75E+11,2.8024
