date,open,close,high,low,volume
2014/12/17,1607.523,1580.758,1607.898,1569.174,4504719.1
2014/12/18,1576.709,1569.619,1586.419,1567.45,3718975.3
2014/12/19,1565.369,1531.328,1565.369,1514.865,4283995.1
2014/12/22,1518.898,1428.067,1518.898,1421.176,5102156.2
2014/12/23,1419.758,1408.917,1442.672,1404.017,3020401.3
2014/12/24,1411.563,1447.148,1447.438,1411.528,2879790.1
2014/12/25,1446.901,1460.173,1461.85,1446.831,2602781
2014/12/26,1458.33,1452.839,1459.329,1446.122,3500583.5
2014/12/29,1449.223,1409.286,1449.223,1403.248,4366626
2014/12/30,1404.118,1383.792,1408.44,1380.254,3894517.8
2014/12/31,1392.864,1409.904,1410.867,1388.004,3455049.3
2015/1/5,1408.248,1416.923,1418.243,1389.175,3897546.8
2015/1/6,1437.211,1452.936,1453.825,1435.496,4321088.2
2015/1/7,1457.162,1445.671,1457.162,1436.448,3162603.6
2015/1/8,1450.254,1448.851,1460.93,1445.189,3051248.3
2015/1/9,1455.89,1450.714,1474.263,1450.049,2940673.5
2015/1/12,1445.362,1430.21,1445.362,1424.246,2621548
2015/1/13,1429.819,1461.229,1461.452,1427.571,2786302.1
2015/1/14,1464.986,1458.209,1467.472,1453.013,3736854.5
2015/1/15,1456.9,1467.568,1471.468,1456.227,3102720.1
2015/1/16,1466.247,1486.475,1491.356,1464.189,3784863.6
2015/1/19,1454.118,1457.609,1501.65,1437.421,4500262.1
2015/1/20,1461.494,1523.472,1523.472,1461.494,4775600.3
2015/1/21,1525.684,1546.146,1548.556,1525.176,4914049.4
2015/1/22,1544.779,1578.686,1578.686,1544.779,5008467.4
2015/1/23,1581.166,1556.333,1581.166,1550.018,4400506.2
2015/1/26,1562.16,1588.273,1588.273,1561.178,4530395.3
2015/1/27,1588.688,1613.544,1614.285,1586.931,6221610.1
2015/1/28,1614.819,1617.165,1629.464,1609.671,5340040.3
2015/1/29,1605.661,1616.194,1623.022,1599.016,3836214
2015/1/30,1620.161,1590.191,1625.424,1589.616,3814283.2
2015/2/2,1580.848,1599.912,1607.068,1571.65,3020031.9
2015/2/3,1607.838,1649.58,1653.704,1606.711,4809435.6
2015/2/4,1657.497,1640.614,1660.66,1639.359,5003209.7
2015/2/5,1648.817,1647.426,1672.427,1642.397,5833854.2
2015/2/6,1644.387,1608.986,1649.695,1603.714,4763824.4
2015/2/9,1601.132,1590.607,1611.417,1586.817,3373037.9
2015/2/10,1589.016,1613.971,1613.971,1589.016,3224190
2015/2/11,1618.167,1638.84,1639.17,1617.671,3274144.2
2015/2/12,1640.159,1651.95,1654.185,1640.119,3561277.7
2015/2/13,1658.951,1687.879,1687.879,1658.951,4452225.7
2015/2/16,1692.53,1742.313,1742.313,1692.489,5445402.7
2015/2/17,1752.31,1766.86,1767.363,1743.358,4467490
2015/2/25,1767.612,1755.845,1775.364,1748.857,4209817.2
2015/2/26,1757.151,1765.599,1767.706,1744.529,3880489.7
2015/2/27,1773.712,1790.397,1791.24,1771.698,4463532.1
2015/3/2,1797.766,1831.576,1831.657,1790.234,5935780
2015/3/3,1829.577,1825.54,1850.141,1818.838,7280213.4
2015/3/4,1825.621,1864.444,1864.444,1825.012,5360162.9
2015/3/5,1870.078,1883.295,1884.662,1862.869,5948017.4
2015/3/6,1888.986,1853.245,1897.608,1849.144,5747762.8
2015/3/9,1845.255,1873.012,1873.301,1830.676,4369495.2
2015/3/10,1874.246,1893.282,1903.979,1873.761,5182588.8
2015/3/11,1892.808,1885.75,1892.808,1877.63,4716717.4
2015/3/12,1887.85,1865.383,1897.734,1850.172,4811487.2
2015/3/13,1866.188,1896.887,1896.928,1866.188,4234155
2015/3/16,1910.207,1957.713,1958.219,1908.436,6809447.6
2015/3/17,1962.963,1976.333,1987.165,1951.535,7419595.1
2015/3/18,1975.41,2016.342,2016.342,1970.667,7047008.4
2015/3/19,2011.652,2018.129,2018.266,1993.978,6494006
2015/3/20,2015.918,2032.576,2049.318,2014.78,6198566.6
2015/3/23,2039.782,2074.844,2075.121,2035.347,7622600.1
2015/3/24,2078.851,2088.612,2091.678,1997.32,9279958.9
2015/3/25,2082.297,2144.519,2156.031,2065.541,9209347.1
2015/3/26,2130.069,2090.496,2132.264,2065.273,7524538.2
2015/3/27,2087.61,2120.759,2123.944,2080.442,5730590.3
2015/3/30,2118.12,2114.346,2143.228,2104.449,6451920.3
2015/3/31,2120.062,2127.498,2145.779,2100.696,6119808
2015/4/1,2128.95,2192.983,2192.983,2128.691,6602146.4
2015/4/2,2205.514,2250.47,2250.47,2203.53,8800402.2
2015/4/3,2244.361,2312.197,2314.661,2239.217,9136589.2
2015/4/7,2321.505,2360.812,2360.812,2320.971,8312573.4
2015/4/8,2360.751,2306.392,2365.109,2267.529,8571881.1
2015/4/9,2309.71,2302.172,2310.048,2202.041,8683031.2
2015/4/10,2310.558,2372.004,2380.665,2299.869,7834059.2
2015/4/13,2383.694,2422.437,2434.692,2371.043,8375477.7
2015/4/14,2422.84,2408.594,2440.547,2386.1,8066682.1
2015/4/15,2399.547,2306.375,2399.782,2289.162,7325965.1
2015/4/16,2265.366,2324.375,2351.771,2230.602,6259467.4
2015/4/17,2334.806,2318.252,2342.119,2307.253,7045683.9
2015/4/20,2300.517,2269.452,2328.162,2262.324,6983503.7
2015/4/21,2269.397,2375.629,2377.142,2269.397,6345380.4
2015/4/22,2380.21,2435.868,2439.148,2380.21,8238025.2
2015/4/23,2441.985,2463.682,2473.425,2425.048,8112291.1
2015/4/24,2445.876,2500.749,2502.54,2425.382,9493881.7
2015/4/27,2526.268,2511.831,2549.343,2488.131,8678223.4
2015/4/28,2506.047,2425.458,2513.657,2390.406,8263237.4
2015/4/29,2418.677,2509.742,2514.483,2410.684,8171434.2
2015/4/30,2514.191,2527.823,2564.214,2513.563,8079451.8
2015/5/4,2525.984,2548.382,2548.438,2492.826,6302330.2
2015/5/5,2548.438,2476.687,2555.574,2454.148,6212041.5
2015/5/6,2484.392,2454.727,2542.016,2443.664,6047899.1
2015/5/7,2443.708,2386.921,2454.181,2381.467,5066309.6
2015/5/8,2423.732,2528.014,2528.067,2423.573,6381676.2
2015/5/11,2565.934,2670.956,2675.078,2559.888,8528734.4
2015/5/12,2692.497,2714.736,2718.684,2656.904,9044689.9
2015/5/13,2695.008,2764.626,2789.662,2667.258,9724959.1
2015/5/14,2774.64,2824.096,2829.625,2773.349,9291461.8
2015/5/15,2847.71,2894.874,2922.409,2844.165,8329634.8
2015/5/18,2922.616,3035.068,3037.254,2913.931,10214454.4
2015/5/19,3059.472,3134.048,3135.658,3045.102,8998810.8
2015/5/20,3184.768,3236.128,3305.908,3184.192,12566963.6
2015/5/21,3292.066,3437.609,3437.609,3284.339,10872406.1
2015/5/22,3521.042,3491.166,3563.607,3417.602,12392291.9
2015/5/25,3480.478,3601.529,3608.226,3454.758,11627532.3
2015/5/26,3677.377,3818.773,3819.565,3675.216,13109457.7
2015/5/27,3884.665,3947.562,3968.978,3795.036,13779514
2015/5/28,3998.028,3773.017,4098.343,3769.999,14681361
2015/5/29,3796.098,3882.804,3948.129,3622.244,12838119
2015/6/1,3949.953,4123.461,4124.299,3949.42,11626091.8
2015/6/2,4194.044,4334.323,4335.293,4183.129,13713662
2015/6/3,4396.023,4347.325,4418.374,4223.245,12847534.8
2015/6/4,4367.442,4296.947,4367.442,4025.878,12705705
2015/6/5,4352.554,4345.645,4416.166,4246.141,13373672.3
2015/6/8,4306.534,4189.462,4312.27,4138.705,11615676.7
2015/6/9,4176.806,4235.196,4263.737,4133.602,10039386.8
2015/6/10,4208.284,4385.192,4432.044,4173.256,11233145.5
2015/6/11,4402.822,4533.035,4536.436,4397.81,9829124.4
2015/6/12,4574.021,4626.933,4667.453,4573.926,11015782.5
2015/6/15,4641.191,4486.181,4641.191,4474.706,11504671.8
2015/6/16,4407.583,4268.332,4407.583,4226.879,9621005
2015/6/17,4260.051,4388.272,4404.577,4113.135,8591882.4
2015/6/18,4390.242,4210.81,4445.407,4202.999,8349170.2
2015/6/19,4068.147,3897.357,4125.751,3881.44,7655544.8
2015/6/23,3890.185,3931.731,3953.478,3637.325,7944730.5
2015/6/24,3983.158,3997.312,4041.033,3857.735,7851218.3
2015/6/25,4018.657,3805.361,4024.253,3745.321,8170682.6
2015/6/26,3653.245,3438.04,3661.975,3430.449,7922661.1
2015/6/29,3480.016,3111.512,3480.016,3075.261,9221893
2015/6/30,2966.079,3263.229,3279.346,2828.177,11360780.6
2015/7/1,3208.08,3052.946,3368.761,3038.327,9857911.4
2015/7/2,3025.591,2817.441,3028.522,2788.805,9246758.2
2015/7/3,2658.931,2601.117,2858.068,2556.207,10812536.8
2015/7/6,2836.674,2440.107,2841.096,2367.12,14597398
2015/7/7,2282.071,2211.048,2291.727,2200.716,7236835.7
2015/7/8,1988.938,2097.547,2115.838,1988.938,13868194
2015/7/9,2038.092,2306.723,2306.723,2038.092,5157045.8
2015/7/10,2462.307,2536.122,2536.122,2448.228,2490473.5
2015/7/13,2738.669,2787.335,2787.54,2701.655,6453243.7
2015/7/14,2894.71,2931.471,3007.534,2864.017,9361864
2015/7/15,2950.743,2738.991,2956.045,2738.804,13909924
2015/7/16,2615.503,2790.332,2884.157,2505.477,12715655.3
2015/7/17,2806.725,3010.651,3036.23,2803.644,11082467.3
2015/7/20,3033.323,3094.211,3148.28,2983.678,13318391.9
2015/7/21,3044.766,3177.186,3202.066,3003.152,10017767.6
2015/7/22,3182.015,3239.141,3258.204,3114.658,11704578.1
2015/7/23,3254.741,3400.774,3413.989,3240.76,12266446.7
2015/7/24,3431.653,3351.666,3509.19,3316.434,13893293
2015/7/27,3250.713,3026.353,3400.265,3019.649,11694920
2015/7/28,2811.663,2864.503,3055.284,2769.052,12635264.6
2015/7/29,2938.808,3073.84,3074.356,2776.333,10218566.3
2015/7/30,3064.126,2979.534,3180.871,2970.128,10437459.6
2015/7/31,2903.496,2923.28,3033.999,2867.801,7990117.7
2015/8/3,2865.232,2764.545,2895.041,2712.453,7966818.7
2015/8/4,2773.723,2986.15,2986.593,2771.235,8231082.7
2015/8/5,2989.972,2971.637,3060.266,2924.814,8649258.2
2015/8/6,2886.733,2969.514,3015.18,2882.487,6729304.6
2015/8/7,3005.693,3095.93,3099.505,2994.845,8417107.6
2015/8/10,3130.694,3277.199,3305.189,3116.148,10069817.3
2015/8/11,3270.03,3292.492,3351.277,3249.001,10828518.8
2015/8/12,3241.046,3219.302,3314.236,3219.165,8938967.3
2015/8/13,3199.986,3345.905,3345.905,3182.575,9826413.5
2015/8/14,3374.857,3373.833,3428.391,3346.929,11413491.8
